rank,id,recipe,final_score,ramp_fit,occupancy,structure,temporal_motion,novelty,start_luma,end_luma,mask,mask_preview,demo
38,block-decay-0001,block-decay,0.4238,0.6003,0.7926,0.0000,0.3676,0.0000,0.3922,0.9216,masks/block-decay-0001__seed-985595662.mp4,mask-previews/block-decay-0001__seed-985595662.mp4,demos/block-decay-0001__seed-985595662.mp4
39,white-burn-0003,white-burn,0.4238,0.6003,0.7926,0.0000,0.3676,0.0000,0.3922,0.9216,masks/white-burn-0003__seed-774071882.mp4,mask-previews/white-burn-0003__seed-774071882.mp4,demos/white-burn-0003__seed-774071882.mp4
40,white-burn-0006,white-burn,0.4238,0.6003,0.7926,0.0000,0.3676,0.0000,0.3922,0.9216,masks/white-burn-0006__seed-31724155.mp4,mask-previews/white-burn-0006__seed-31724155.mp4,demos/white-burn-0006__seed-31724155.mp4
41,block-decay-0009,block-decay,0.4238,0.6003,0.7926,0.0000,0.3676,0.0000,0.3922,0.9216,masks/block-decay-0009__seed-565779667.mp4,mask-previews/block-decay-0009__seed-565779667.mp4,demos/block-decay-0009__seed-565779667.mp4
42,white-burn-0012,white-burn,0.4238,0.6003,0.7926,0.0000,0.3676,0.0000,0.3922,0.9216,masks/white-burn-0012__seed-370337493.mp4,mask-previews/white-burn-0012__seed-370337493.mp4,demos/white-burn-0012__seed-370337493.mp4
43,white-burn-0019,white-burn,0.4238,0.6003,0.7926,0.0000,0.3676,0.0000,0.3922,0.9216,masks/white-burn-0019__seed-761768011.mp4,mask-previews/white-burn-0019__seed-761768011.mp4,demos/white-burn-0019__seed-761768011.mp4
44,white-burn-0021,white-burn,0.4238,0.6003,0.7926,0.0000,0.3676,0.0000,0.3922,0.9216,masks/white-burn-0021__seed-208014176.mp4,mask-previews/white-burn-0021__seed-208014176.mp4,demos/white-burn-0021__seed-208014176.mp4
45,block-decay-0028,block-decay,0.4238,0.6003,0.7926,0.0000,0.3676,0.0000,0.3922,0.9216,masks/block-decay-0028__seed-266165920.mp4,mask-previews/block-decay-0028__seed-266165920.mp4,demos/block-decay-0028__seed-266165920.mp4
46,block-decay-0032,block-decay,0.4238,0.6003,0.7926,0.0000,0.3676,0.0000,0.3922,0.9216,masks/block-decay-0032__seed-365136126.mp4,mask-previews/block-decay-0032__seed-365136126.mp4,demos/block-decay-0032__seed-365136126.mp4
47,block-decay-0044,block-decay,0.4238,0.6003,0.7926,0.0000,0.3676,0.0000,0.3922,0.9216,masks/block-decay-0044__seed-522338596.mp4,mask-previews/block-decay-0044__seed-522338596.mp4,demos/block-decay-0044__seed-522338596.mp4
48,block-decay-0046,block-decay,0.4238,0.6003,0.7926,0.0000,0.3676,0.0000,0.3922,0.9216,masks/block-decay-0046__seed-523261654.mp4,mask-previews/block-decay-0046__seed-523261654.mp4,demos/block-decay-0046__seed-523261654.mp4
